"","AIC","vars","rear","varNames","re_j","re_t","re_jt","nvar","gr","cor","deltaAIC","firstVar","secondVar"
"2357",2300.12115401807,"11_24","H","transport.sum_npgo.sum",0,0,1,2,0.000347427169361758,0.428703765742244,0,"transport.sum","npgo.sum"
"2359",2301.12140107716,"11_25","H","transport.sum_npgo.aut",0,0,1,2,0.00175010985523016,0.348851852349775,1.000247059088,"transport.sum","npgo.aut"
"2355",2301.3937520196,"11_23","H","transport.sum_npgo.spr",0,0,1,2,0.0011613605603733,0.42745074207604,1.27259800153479,"transport.sum","npgo.spr"
"1795",2303.07160724234,"1_11","H","ersstArc.win_transport.sum",0,0,1,2,1.48852191640333e-06,0.0936024432678367,2.95045322427541,"ersstArc.win","transport.sum"
"1843",2303.16881285605,"2_11","H","ersstArc.spr_transport.sum",0,0,1,2,0.000701342869276367,0.15730653156204,3.04765883797972,"ersstArc.spr","transport.sum"
"4713",2304.12085700923,"11_24","H","transport.sum_npgo.sum",0,1,1,2,0.000269644965811722,0.428703765742244,3.99970299115694,"transport.sum","npgo.sum"
"7069",2304.12099430965,"11_24","H","transport.sum_npgo.sum",1,0,1,2,0.000431019515158226,0.428703765742244,3.99984029158031,"transport.sum","npgo.sum"
"7278",1597.55722327735,"15_36","W","cui.spr_pdo.sum",1,0,1,2,0.000187369604008225,0.306798971468387,0,"cui.spr","pdo.sum"
"6564",1599.34667075663,"2_15","W","ersstArc.spr_cui.spr",1,0,1,2,3.10678574333423e-06,0.0844713176630494,1.78944747928654,"ersstArc.spr","cui.spr"
"7622",1599.41625569018,"28_35","W","npi.sum_pdo.spr",1,0,1,2,0.00029260179285906,0.0411726460091173,1.85903241283086,"npi.sum","pdo.spr"
"6500",1599.56520187486,"1_7","W","ersstArc.win_ersstWAcoast.sum",1,0,1,2,7.05093935842172e-05,0.610979870700026,2.00797859751674,"ersstArc.win","ersstWAcoast.sum"
"6870",1599.62554826678,"7_34","W","ersstWAcoast.sum_pdo.win",1,0,1,2,6.52471071518335e-05,0.500021001039896,2.0683249894355,"ersstWAcoast.sum","pdo.win"
"6516",1599.6695163944,"1_15","W","ersstArc.win_cui.spr",1,0,1,2,1.52248201317207e-05,0.112938588475597,2.11229311704847,"ersstArc.win","cui.spr"
"7276",1600.05267844002,"15_35","W","cui.spr_pdo.spr",1,0,1,2,8.62735359650202e-05,0.00340964607009235,2.49545516266789,"cui.spr","pdo.spr"
"9632",1600.72955170702,"15_35","W","cui.spr_pdo.spr",1,1,1,2,6.70555815625029e-05,0.00340964607009235,3.17232842967587,"cui.spr","pdo.spr"
"6872",1600.84183344524,"7_35","W","ersstWAcoast.sum_pdo.spr",1,0,1,2,9.96094577203621e-05,0.685135481738257,3.2846101678897,"ersstWAcoast.sum","pdo.spr"
"6864",1600.86365486889,"7_31","W","ersstWAcoast.sum_oni.spr",1,0,1,2,0.00027987571104493,0.503959503327869,3.3064315915417,"ersstWAcoast.sum","oni.spr"
"6536",1601.0868352381,"1_27","W","ersstArc.win_npi.spr",1,0,1,2,0.000182665903425416,0.204311925148607,3.52961196075557,"ersstArc.win","npi.spr"
"6802",1601.14545239329,"6_28","W","ersstWAcoast.spr_npi.sum",1,0,1,2,0.000295016112008994,0.0276941630562047,3.58822911593961,"ersstWAcoast.spr","npi.sum"
"7274",1601.5064324696,"15_34","W","cui.spr_pdo.win",1,0,1,2,1.19607282194067e-05,0.22023051611459,3.94920919225206,"cui.spr","pdo.win"
